"record_id","hospital_id","hospital_name","department","resource_type","resource_subtype","date","shift","resource_capacity","resource_in_use","resource_available","forecasted_demand","surge_capacity","utilization_rate","unit_cost","total_cost","notes","last_updated"
"REC03047","H029","Riverbend Regional Hospital","ICU","bed","","2023-10-12","night","31","32","0","33","36","1.03","7990","255680","Overutilization: patient transfer pending.","2023-10-12T23:19:58"
"REC03048","H021","Harborview Healthcare Center","Emergency","PPE","Isolation Gown","2023-10-12","morning","820","412","408","420","950","0.5","2.75","1133","PPE restocked after busy weekend.","2023-10-12T08:12:24"
"REC03049","H024","Silver Pine Health Institute","Surgery","other","","2023-10-12","afternoon","1","1","0","1","2","1","42000","42000","Surgical equipment in use for rare procedure.","2023-10-12T13:51:43"
"REC03050","H027","Maple Ridge Regional Medical Center","ICU","bed","ICU Bed","2023-10-12","full_day","34","34","0","35","40","1","8150","277100","","2023-10-12T19:27:05"
"REC04001","H004","St. Vincent Hospital North","ICU","bed","ICU Bed","2023-12-10","morning","28","25","3","27","34","0.89","8200","205000","Near full occupancy, watch for weekend trend.","2023-12-10T09:30:00"
"REC04002","H007","Westlake General Center","Pediatrics","nurse","Pediatric Nurse","2023-12-10","afternoon","10","6","4","8","12","0.6","68.5","411","Several staff on leave, temporary float pool.","2023-12-10T15:55:00"
"REC04003","H002","Cityview Medical Pavilion","Surgery","doctor","Orthopedic Surgeon","2023-12-10","night","3","2","1","3","4","0.67","325","650","On-call schedule, regular caseload.","2023-12-10T21:19:00"
"REC04004","H006","Northern Lights Health Campus","ICU","ventilator","Pediatric Ventilator","2023-12-10","night","6","5","1","7","8","0.83","14100","70500","High utilization due to seasonal RSV.","2023-12-10T23:50:00"
"REC04005","H003","Central Regional Hospital","Emergency","PPE","N95 Mask","2023-12-10","full_day","1200","620","580","700","1800","0.52","2.1","1302","Stocked in advance for flu season.","2023-12-10T17:37:00"
"REC04006","H009","Riverbend Memorial Medical","Pediatrics","monitor","Cardiac Monitor","2023-12-11","afternoon","4","1","3","2","5","0.25","1200","1200","Low current demand, monitor rotation.","2023-12-11T14:16:00"
"REC04007","H005","Greenway Medical Institute","ICU","PPE","Face Shield","2023-12-11","morning","800","720","80","780","1000","0.9","3","2160","Critical low stock, reorder pending.","2023-12-11T10:02:00"
"REC04008","H001","Lakeside Community Hospital","Surgery","other","Surgical Robot","2023-12-11","full_day","1","1","0","2","2","1","2100000","2100000","High-cost, fully utilized today.","2023-12-11T16:34:00"
"REC04009","H010","Southfield Medical Center","Emergency","bed","ER Bed","2023-12-11","afternoon","18","5","13","9","22","0.28","3600","18000","Low occupancy, awaiting trauma alert.","2023-12-11T13:50:00"
"REC04010","H008","Eastern Valley Health Center","ICU","nurse","ICU Nurse","2023-12-11","morning","16","13","3","14","18","0.81","78","1014","Staffing nearly at full, regular shift.","2023-12-11T09:44:00"
"REC04011","H001","Lakeside Community Hospital","Emergency","doctor","ER Physician","2023-12-12","night","8","9","0","11","12","1.12","280","2520","Overutilization: staff covering extra.","2023-12-12T23:12:00"
"REC04012","H002","Cityview Medical Pavilion","Surgery","monitor","","2023-12-12","morning","3","0","3","1","3","0","2100","0","No surgeries scheduled, equipment idle.","2023-12-12T08:17:00"
"REC04013","H003","Central Regional Hospital","Pediatrics","PPE","Child Mask","2023-12-12","morning","280","142","138","160","400","0.51","1.8","255.6","Stock steady for pediatric ward.","2023-12-12T09:22:00"
"REC04014","H005","Greenway Medical Institute","ICU","ventilator","Adult Ventilator","2023-12-12","afternoon","8","7","1","10","10","0.88","12750","89250","All units in use, risk of shortage.","2023-12-12T15:02:00"
"REC04015","H007","Westlake General Center","Emergency","nurse","ER Nurse","2023-12-12","night","13","14","0","16","17","1.08","74","1036","Emergency: staff covering multiple roles.","2023-12-12T22:03:00"
"REC04016","H008","Eastern Valley Health Center","Surgery","other","","2023-12-12","afternoon","1","0","1","0","1","0","12500","0","No specialist available, equipment standby.","2023-12-12T15:42:00"
"REC04017","H004","St. Vincent Hospital North","ICU","bed","ICU Bed","2023-12-13","night","32","32","0","36","40","1","9100","291200","Full occupancy, surge support arranged.","2023-12-13T23:22:00"
"REC04018","H002","Cityview Medical Pavilion","Emergency","PPE","Surgical Gloves","2023-12-13","morning","1050","540","510","600","1500","0.51","1.6","864","Spikes during winter viral season.","2023-12-13T10:01:00"
"REC04019","H006","Northern Lights Health Campus","Pediatrics","nurse","","2023-12-13","full_day","7","2","5","4","10","0.29","66","132","","2023-12-13T18:11:00"
"REC04020","H009","Riverbend Memorial Medical","ICU","doctor","Intensivist","2023-12-13","morning","4","3","1","4","5","0.75","310","930","Regular rounds, caseload within normal.","2023-12-13T08:59:00"
"REC04021","H004","St. Vincent Hospital North","ICU","nurse","ICU Nurse","2023-12-13","night","18","17","1","19","22","0.94","76","1292","Near full staff, one on sick leave.","2023-12-13T23:41:00"
"REC04022","H010","Southfield Medical Center","Surgery","doctor","General Surgeon","2023-12-13","afternoon","4","2","2","3","6","0.5","288","576","","2023-12-13T14:27:00"
"REC04023","H007","Westlake General Center","Emergency","bed","ER Bed","2023-12-14","morning","20","16","4","18","25","0.8","3450","55200","Weekend volume, trauma activation ready.","2023-12-14T08:38:00"
"REC04024","H001","Lakeside Community Hospital","ICU","PPE","Bouffant Cap","2023-12-14","morning","650","440","210","500","800","0.68","1.7","748","Stock levels remain steady.","2023-12-14T09:11:00"
"REC04025","H005","Greenway Medical Institute","Emergency","monitor","","2023-12-14","afternoon","3","1","2","2","5","0.33","1750","1750","Routine observation, all operational.","2023-12-14T13:43:00"
"REC04026","H003","Central Regional Hospital","Pediatrics","doctor","Pediatrician","2023-12-14","afternoon","5","2","3","3","7","0.4","249","498","","2023-12-14T15:18:00"
"REC04027","H009","Riverbend Memorial Medical","ICU","respirator","Transport Respirator","2023-12-14","night","2","2","0","3","3","1","18750","37500","All respirators in use for transfers.","2023-12-14T22:45:00"
"REC04028","H010","Southfield Medical Center","Surgery","nurse","Surgical Nurse","2023-12-14","night","5","6","0","7","8","1.2","82","492","Emergency: overtime coverage.","2023-12-14T22:16:00"
"REC04029","H002","Cityview Medical Pavilion","Pediatrics","PPE","","2023-12-15","morning","350","190","160","220","400","0.54","2.4","456","Steady supply, regular use.","2023-12-15T09:09:00"
"REC04030","H005","Greenway Medical Institute","ICU","bed","Isolation Bed","2023-12-15","full_day","22","19","3","20","27","0.86","10400","197600","High demand for isolation beds.","2023-12-15T18:21:00"
"REC04031","H007","Westlake General Center","Emergency","doctor","Trauma Physician","2023-12-15","afternoon","6","5","1","6","8","0.83","312","1560","Full trauma team, high alert.","2023-12-15T13:03:00"
"REC04032","H001","Lakeside Community Hospital","Surgery","monitor","Anesthesia Monitor","2023-12-15","night","2","1","1","2","3","0.5","1575","1575","Backup monitor in use for procedure.","2023-12-15T23:08:00"
"REC04033","H006","Northern Lights Health Campus","ICU","ventilator","","2023-12-15","morning","7","6","1","8","10","0.86","13800","82800","","2023-12-15T09:48:00"
"REC04034","H003","Central Regional Hospital","Pediatrics","monitor","Pulse Oximeter","2023-12-15","afternoon","2","1","1","1","3","0.5","1220","1220","All monitors operational.","2023-12-15T13:35:00"
"REC04035","H008","Eastern Valley Health Center","Emergency","PPE","","2023-12-16","morning","1500","900","600","950","2000","0.6","2.3","2070","Large supply prepared for event.","2023-12-16T09:02:00"
"REC04036","H010","Southfield Medical Center","ICU","bed","ICU Bed","2023-12-16","full_day","36","34","2","38","44","0.94","8600","292400","High occupancy, surge beds in planning.","2023-12-16T17:19:00"
"REC04037","H004","St. Vincent Hospital North","Emergency","doctor","","2023-12-16","night","7","8","0","9","10","1.14","335","2680","Emergency: covering multiple shifts.","2023-12-16T23:13:00"
"REC04038","H002","Cityview Medical Pavilion","Pediatrics","nurse","Pediatric Nurse","2023-12-16","morning","9","7","2","8","12","0.78","67","469","Steady shift, additional float possible.","2023-12-16T09:38:00"
"REC04039","H006","Northern Lights Health Campus","ICU","nurse","ICU Nurse","2023-12-16","full_day","22","18","4","20","28","0.82","79","1422","Staffing at target, one covering two pods.","2023-12-16T18:15:00"
"REC04040","H009","Riverbend Memorial Medical","Surgery","other","Surgical Robot","2023-12-16","afternoon","1","1","0","2","2","1","2250000","2250000","Scheduled for cardiac case.","2023-12-16T13:30:00"
"REC04041","H003","Central Regional Hospital","Emergency","PPE","N95 Mask","2023-12-17","morning","1100","780","320","900","1500","0.71","2.2","1716","Steady use, no shortage expected.","2023-12-17T09:22:00"
"REC04042","H001","Lakeside Community Hospital","ICU","bed","","2023-12-17","night","25","21","4","23","28","0.84","8700","182700","","2023-12-17T23:00:00"
"REC04043","H010","Southfield Medical Center","Pediatrics","doctor","Pediatrician","2023-12-17","afternoon","5","3","2","4","7","0.6","265","795","","2023-12-17T15:25:00"
"REC04044","H004","St. Vincent Hospital North","Emergency","nurse","ER Nurse","2023-12-17","night","12","13","0","15","14","1.08","71","923","Emergency: coverage from float pool.","2023-12-17T22:31:00"
"REC04045","H008","Eastern Valley Health Center","ICU","doctor","","2023-12-17","full_day","5","4","1","5","6","0.8","318","1272","Caseload within normal limits.","2023-12-17T17:22:00"
"REC04046","H002","Cityview Medical Pavilion","Surgery","other","","2023-12-17","afternoon","1","0","1","1","1","0","15500","0","","2023-12-17T13:11:00"
"REC04047","H005","Greenway Medical Institute","ICU","bed","ICU Bed","2023-12-18","morning","27","24","3","26","31","0.89","9200","220800","High occupancy, monitor for overflow.","2023-12-18T08:57:00"
"REC04048","H003","Central Regional Hospital","Emergency","nurse","","2023-12-18","night","11","12","0","13","14","1.09","69","828","Emergency: overtime coverage.","2023-12-18T23:34:00"
"REC04049","H009","Riverbend Memorial Medical","Pediatrics","monitor","","2023-12-18","afternoon","3","1","2","2","4","0.33","1350","1350","All monitors operational.","2023-12-18T13:43:00"
"REC04050","H010","Southfield Medical Center","Emergency","PPE","Surgical Gloves","2023-12-18","morning","900","540","360","700","1200","0.6","1.9","1026","Stock steady for emergency department.","2023-12-18T09:14:00"
